"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000064356.1",18.0746088743834,6.53536323000742,4.64909593938434,1.40572776195986,0.159804979887077,0.999565474790025
"ENSMUSG00000000673.10",10.1852915169003,5.77331412014814,1.92540134848127,2.99849905304266,0.00271312999479443,0.263901522420492
"ENSMUSG00000055632.19",12.3320967055067,4.98759630583326,1.82251862896852,2.73665038401064,0.00620682183910417,0.412546758239124
"ENSMUSG00000031980.11",9.42240575366553,4.59004745838094,2.16009926358949,2.12492431979887,0.0335929283098128,0.866655228709193
"ENSMUSG00000090105.3",9.90350188978575,4.34759286483915,1.95278780053762,2.22635191782856,0.0259906184416649,0.850915996126341
"ENSMUSG00000074207.11",14.0347482216142,4.31640243566845,1.96415107998644,2.19759186533567,0.0279782034415347,0.850915996126341
"ENSMUSG00000056167.9",16.2320261571109,4.19998068280905,1.8194700525403,2.30835384014435,0.0209794641509264,0.760600936671768
"ENSMUSG00000057342.16",1079.86606679809,4.15970128039782,0.229452913665537,18.128779512738,1.88905461567685e-73,7.53354980731926e-70
"ENSMUSG00000019906.16",23.6244839226947,3.95790398734537,1.83742544817223,2.15404874863494,0.0312363491472233,0.858110035633757
"ENSMUSG00000017718.16",13.4951496500263,3.95115432176437,1.92811357494104,2.04923318476464,0.040439318575778,0.912528488365641
