"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025902.14",0.719487198551759,-2.7045833334102,4.28989863895732,-0.630453901369465,0.528397654485743,NA
"ENSMUSG00000104238.2",0.127401907412368,-1.52327504989019,4.90626559053373,-0.310475456695461,0.756199420681579,NA
"ENSMUSG00000103922.2",0.602060871281115,-1.52340227529335,4.9062587700086,-0.310501819554593,0.756179376012869,NA
"ENSMUSG00000033845.14",4.04943671992153,0.453693688423712,1.736198525254,0.261314407208898,0.793850057113341,0.874328396000026
"ENSMUSG00000102275.2",0.0637009537061842,-0.640754207269177,4.98785454118498,-0.128462889600816,0.89778266465317,NA
"ENSMUSG00000025903.15",1.95820291429357,1.81323429798242,3.2401343515062,0.559617010059945,0.575740699919978,NA
"ENSMUSG00000033813.16",0.371350221353176,2.12453316794821,4.98523941021772,0.426164722118216,0.669987821558672,NA
"ENSMUSG00000062588.5",0.134099745832206,0.748811477207282,4.9973301911726,0.149842305503447,0.880889031169448,NA
"ENSMUSG00000103280.2",0.526674289084231,-2.229468372827,4.85958788032781,-0.458777251843135,0.646394132039459,NA
"ENSMUSG00000033793.13",0.331332289704126,-2.87495939035998,4.83269363057533,-0.594897920317312,0.551911707526495,NA
"ENSMUSG00000090031.4",19.6764938281799,-2.9338067320059,1.04129696431257,-2.81745441747514,0.00484059851268673,0.0173434284817141
"ENSMUSG00000025907.15",1.7078244355684,-1.80140320112748,2.76389213866548,-0.651763205924986,0.51455394105243,NA
"ENSMUSG00000051285.18",3.88556684082532,-2.28914811328761,2.15950131277079,-1.06003552753134,0.289128436763167,0.439500153629607
"ENSMUSG00000098201.2",0.404883220664239,0.748940005016137,4.99733019125989,0.14986802479572,0.880868739270405,NA
"ENSMUSG00000048538.8",0.570549365516302,-1.86747122525586,4.88072816054037,-0.382621437586703,0.702000472804585,NA
"ENSMUSG00000061024.9",7.73998553392289,-0.435875988476334,1.28514026909859,-0.339166080899528,0.734484619955774,0.833998445446333
"ENSMUSG00000025911.15",8.67023607297422,-2.0662377072422,1.21744448987142,-1.69719254095965,0.0896602648665578,0.181583970333521
"ENSMUSG00000079671.10",429.729390226633,1.40337880887798,0.255377238371749,5.49531672370544,3.90009804484457e-08,4.23712332406993e-07
"ENSMUSG00000081441.4",0.191102861118552,-2.1023603383092,4.86642538312993,-0.432013269040822,0.665731769249877,NA
"ENSMUSG00000067879.4",4.61634119345965,-0.940892474128367,1.7669772298845,-0.532487039569755,0.594388715846749,0.724720727573599
"ENSMUSG00000045210.9",0.99218537549886,-2.70412208292447,3.86139201746233,-0.70029721683156,0.483741709506792,NA
"ENSMUSG00000097893.10",36.8343317549806,-1.00433323218595,0.611640380527114,-1.64203225320148,0.100583320077414,0.198986180525503
"ENSMUSG00000025915.15",0.134099745832206,0.748811477207282,4.9973301911726,0.149842305503447,0.880889031169448,NA
"ENSMUSG00000098234.9",0.433865636516475,-1.86762597082841,4.88072215625332,-0.382653613755815,0.701976612194203,NA
"ENSMUSG00000046101.17",17.2579582289526,2.24729617383688,0.914382855230656,2.45771906262393,0.0139822506073601,0.0423177206247726
"ENSMUSG00000104025.2",0.596751017825089,-1.52340359441145,4.90625869872664,-0.310502092930165,0.756179168156047,NA
"ENSMUSG00000087199.2",0.127401907412368,-1.52327504989019,4.90626559053373,-0.310475456695461,0.756199420681579,NA
"ENSMUSG00000025917.10",2.99986079055979,0.981872024460301,2.25240256341741,0.4359220862236,0.662893260076342,0.780285931801682
"ENSMUSG00000056763.17",2.71314990560206,-0.0187106466579104,2.04161775051761,-0.0091646179374992,0.992687795201106,0.995639931132012
"ENSMUSG00000067851.12",6.33983122908267,-3.50263469520029,1.65258484199981,-2.1194885770353,0.0340491981135251,0.0860604854241167
"ENSMUSG00002076532.1",0.278571522694404,2.3706743804844,4.97027409125388,0.476970552721839,0.633383090795466,NA
"ENSMUSG00000048960.14",0.466000191202802,-0.640860302817772,4.98785032374853,-0.128484269017949,0.897765746544622,NA
"ENSMUSG00000016918.16",1.4571451192837,-4.48635167133982,3.23850632947904,-1.38531508507551,0.165956143064711,NA
"ENSMUSG00000025938.17",0.879204156793294,-4.29041277002851,4.62263975681639,-0.928130461323968,0.35333990029747,NA
"ENSMUSG00000005886.15",2.60136360591945,0.941989016281755,2.0723496072165,0.454551207480383,0.649432144074857,0.768871358606329
"ENSMUSG00000025935.11",4.42914821220416,-0.602837346752881,1.95836237329288,-0.307827271895161,0.758213768589911,0.85090627936226
"ENSMUSG00000025937.7",2.06448661445776,1.21843508674713,2.74240860387885,0.444293780665572,0.656830197169706,NA
"ENSMUSG00000102166.2",0.404883220664239,0.748940005016137,4.99733019125989,0.14986802479572,0.880868739270405,NA
"ENSMUSG00000054493.3",8.52263781755833,-3.81685171285395,1.61973009350947,-2.35647391386301,0.0184493634066055,0.0529063630111049
"ENSMUSG00000025930.7",2.18927934286582,-4.06111997373675,2.80588246465769,-1.44735926215362,0.147796329171571,NA
"ENSMUSG00000082193.2",0.0637009537061842,-0.640754207269177,4.98785454118498,-0.128462889600816,0.89778266465317,NA
"ENSMUSG00000104149.2",1.27943357992825,5.57859750361215,3.95370623610442,1.41097926109673,0.158250729199667,NA
"ENSMUSG00000025925.15",0.561267543928843,-2.70489594131392,4.83867199041569,-0.559016181851489,0.576150676551015,NA
"ENSMUSG00000104379.2",3.23351287701362,-0.00192437265718199,1.94749420425678,-0.000988127539982274,0.999211588420044,0.999412327637107
