"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025902.14",0.719487198551759,0.552282875289378,4.10638368818112,0.134493733958408,0.893012165651548,NA
"ENSMUSG00000104238.2",0.127401907412368,-1.76842517856002,4.90626559053373,-0.360442203123301,0.718516471020032,NA
"ENSMUSG00000103922.2",0.602060871281115,1.85120914082468,4.74234093198174,0.390357666683211,0.696272086829938,NA
"ENSMUSG00000033845.14",4.04943671992153,0.135061053984984,1.74296089963493,0.0774894342226916,0.938234196270047,NA
"ENSMUSG00000102275.2",0.0637009537061842,-0.885904335939012,4.98785454118498,-0.177612303771903,0.859027461172091,NA
"ENSMUSG00000025903.15",1.95820291429357,-2.09566754706949,3.48253830210331,-0.601764392886589,0.547330980065587,NA
"ENSMUSG00000033813.16",0.371350221353176,3.37028043708966,4.87134369301076,0.691858478785888,0.489026207932263,NA
"ENSMUSG00000062588.5",0.134099745832206,2.4498291076714,4.93802383927723,0.496115285670628,0.619813075232293,NA
"ENSMUSG00000103280.2",0.526674289084231,0.546975972351668,4.72099930558095,0.115860210295956,0.907763330844875,NA
"ENSMUSG00000033793.13",0.331332289704126,-3.12010951902982,4.83269363057533,-0.645625350485619,0.518522015729469,NA
"ENSMUSG00000090031.4",19.6764938281799,0.794239514513623,0.903458905128254,0.879109730398722,0.379341782378965,0.999565474790025
"ENSMUSG00000025907.15",1.7078244355684,-1.13994288730358,2.69059137687925,-0.423677447679094,0.671801064604632,NA
"ENSMUSG00000051285.18",3.88556684082532,-0.290335696973102,1.94109360401243,-0.149573259307511,0.881101306790868,NA
"ENSMUSG00000098201.2",0.404883220664239,0.503789876346303,4.99733019125989,0.100811804916835,0.919699855616689,NA
"ENSMUSG00000048538.8",0.570549365516302,-2.1126213539257,4.88072816054037,-0.432849624981326,0.665124018750971,NA
"ENSMUSG00000061024.9",7.73998553392289,-0.525340570269874,1.28259774763812,-0.409591059423955,0.682105956494817,NA
"ENSMUSG00000025911.15",8.67023607297422,-0.203577848009049,1.1264351247182,-0.180727539067089,0.856581441667853,NA
"ENSMUSG00000079671.10",429.729390226633,0.436577289694919,0.258239429021967,1.69059113609558,0.090914918751645,0.999565474790025
"ENSMUSG00000081441.4",0.191102861118552,-2.34751046697903,4.86642538312994,-0.482389080723804,0.629529576505974,NA
"ENSMUSG00000067879.4",4.61634119345965,2.21193996875173,1.57406566980987,1.4052399535649,0.159949937143443,NA
"ENSMUSG00000045210.9",0.99218537549886,-0.979171522705291,3.78117132317481,-0.258959840487509,0.795666226405707,NA
"ENSMUSG00000097893.10",36.8343317549806,-0.142361611914928,0.595091718682629,-0.239226336790701,0.810930081659229,0.999565474790025
"ENSMUSG00000025915.15",0.134099745832206,2.4498291076714,4.93802383927723,0.496115285670628,0.619813075232293,NA
"ENSMUSG00000098234.9",0.433865636516475,0.753926671496332,4.7516388360563,0.158666661652691,0.873931505528896,NA
"ENSMUSG00000046101.17",17.2579582289526,1.8159129494686,0.920204202613807,1.97338041307632,0.04845223747929,0.944914678062192
"ENSMUSG00000104025.2",0.596751017825089,1.88819191562289,4.7410174799478,0.398267233480793,0.690433210870316,NA
"ENSMUSG00000087199.2",0.127401907412368,-1.76842517856002,4.90626559053373,-0.360442203123301,0.718516471020032,NA
"ENSMUSG00000025917.10",2.99986079055979,0.709862329082197,2.25621677609331,0.314625055803077,0.75304635283751,NA
"ENSMUSG00000056763.17",2.71314990560206,-0.720516406594371,2.07960374973225,-0.346468122442623,0.728990937010767,NA
"ENSMUSG00000067851.12",6.33983122908267,-0.682014767174032,1.3251161459146,-0.514683010449097,0.606774547467092,NA
"ENSMUSG00002076532.1",0.278571522694404,2.44977483016564,4.93802434557954,0.496104243057987,0.619820865754268,NA
"ENSMUSG00000048960.14",0.466000191202802,2.55234127266565,4.83357624317999,0.528044070116182,0.597468748582905,NA
"ENSMUSG00000016918.16",1.4571451192837,-1.18695544459864,2.98781072333253,-0.397265943029597,0.691171358895845,NA
"ENSMUSG00000025938.17",0.879204156793294,-4.5355631067697,4.62263975681639,-0.981163003256249,0.32651236533019,NA
"ENSMUSG00000005886.15",2.60136360591945,0.594136270879079,2.07994612203311,0.285649837072858,0.77514632860319,NA
"ENSMUSG00000025935.11",4.42914821220416,-0.877372463264245,1.96491515564249,-0.44651926101988,0.655222202622966,NA
"ENSMUSG00000025937.7",2.06448661445776,0.253717240039858,2.80158971976067,0.090561882866108,0.927840720493618,NA
"ENSMUSG00000102166.2",0.404883220664239,0.503789876346303,4.99733019125989,0.100811804916835,0.919699855616689,NA
"ENSMUSG00000054493.3",8.52263781755833,0.689691067691,1.24646956125698,0.55331561165079,0.580047312738223,NA
"ENSMUSG00000025930.7",2.18927934286582,0.943080206740115,2.43985723972207,0.386530896720639,0.699103524929063,NA
"ENSMUSG00000082193.2",0.0637009537061842,-0.885904335939012,4.98785454118498,-0.177612303771903,0.859027461172091,NA
"ENSMUSG00000104149.2",1.27943357992825,0.503622496942725,4.18465082414545,0.120349945098602,0.90420594112742,NA
"ENSMUSG00000025925.15",0.561267543928843,-0.0833458892519667,4.70843444386506,-0.0177014016539115,0.985877062465606,NA
"ENSMUSG00000104379.2",3.23351287701362,-0.545530528476617,1.96985453672822,-0.2769394989859,0.781826562471637,NA
"ENSMUSG00000032719.5",1.41961536047196,2.48845107665319,3.03571567518434,0.819724685350212,0.412373074257694,NA
"ENSMUSG00000043716.14",9.10338716640903,0.582899541187158,1.44860053853747,0.402388046725195,0.687398465640963,NA
