"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025902.14",0.719487198551759,0.41781173017565,6.06840956496214,0.0688502853512091,0.945108791098336,NA
"ENSMUSG00000104238.2",0.127401907412368,2.73846770558415,7.00309409571525,0.391036828601181,0.695770013579684,NA
"ENSMUSG00000103922.2",0.602060871281115,-0.88107621211214,6.88925543122424,-0.127891355010417,0.8982349525666,NA
"ENSMUSG00000033845.14",4.04943671992153,-0.450750626311356,2.52954324067624,-0.178194473635823,0.858570249668128,NA
"ENSMUSG00000102275.2",0.0637009537061842,1.85597992546448,7.06048559365817,0.262868594637676,0.792651863103441,NA
"ENSMUSG00000025903.15",1.95820291429357,3.20879578934088,4.70068388503527,0.682623181608989,0.494844981924098,NA
"ENSMUSG00000033813.16",0.371350221353176,-3.77585454730408,6.97001992100771,-0.541727941970958,0.588005937815063,NA
"ENSMUSG00000062588.5",0.134099745832206,-1.47965285276129,7.02537458201948,-0.210615510317168,0.833187308307738,NA
"ENSMUSG00000103280.2",0.526674289084231,0.423115564804709,6.87458509808922,0.061547796524086,0.950922950407239,NA
"ENSMUSG00000033793.13",0.331332289704126,4.09010140694928,6.95175661051672,0.588355092979192,0.556293973398751,NA
"ENSMUSG00000090031.4",19.6764938281799,-1.75472715472953,1.72221888961229,-1.01887580336815,0.308261932318951,NA
"ENSMUSG00000025907.15",1.7078244355684,-0.521662549948449,4.09907480469947,-0.127263486226301,0.898731859044036,NA
"ENSMUSG00000051285.18",3.88556684082532,3.19630707138619,2.93156560380916,1.09030719532015,0.275577846709573,NA
"ENSMUSG00000098201.2",0.404883220664239,2.69345869480741,7.00610773648949,0.384444372840462,0.700649117844395,NA
"ENSMUSG00000048538.8",0.570549365516302,5.30977461422965,6.92343396757361,0.766927891433407,0.443124389486694,NA
"ENSMUSG00000061024.9",7.73998553392289,-0.401261642295321,1.92694790400161,-0.208236891854751,0.835044004367518,NA
"ENSMUSG00000025911.15",8.67023607297422,-0.162145654234557,1.84988822498822,-0.0876515954014408,0.930153592750005,NA
"ENSMUSG00000079671.10",429.729390226633,0.0260089216944517,0.362795854030387,0.0716902395810543,0.942848423862408,0.976275064067062
"ENSMUSG00000081441.4",0.191102861118552,3.3175312993222,6.97524474303856,0.475615038831886,0.634348659337425,NA
"ENSMUSG00000067879.4",4.61634119345965,-1.90449264051539,2.55141360364143,-0.746446063389043,0.455398002094703,NA
"ENSMUSG00000045210.9",0.99218537549886,4.60120601223541,5.44022883217496,0.845774351443207,0.397678636325066,NA
"ENSMUSG00000097893.10",36.8343317549806,-0.0273206315419929,0.896194754278488,-0.0304851500319127,0.9756801364355,NA
"ENSMUSG00000025915.15",0.134099745832206,-1.47965285276129,7.02537458201948,-0.210615510317168,0.833187308307738,NA
"ENSMUSG00000098234.9",0.433865636516475,0.216174553072587,6.89565937215008,0.0313493665226075,0.974990920943121,NA
"ENSMUSG00000046101.17",17.2579582289526,-1.06731142960811,1.26241515170875,-0.845452011696341,0.39785851523888,NA
"ENSMUSG00000104025.2",0.596751017825089,-0.918058063252291,6.88834456749622,-0.133277023856254,0.893974297787899,NA
"ENSMUSG00000087199.2",0.127401907412368,2.73846770558415,7.00309409571525,0.391036828601181,0.695770013579684,NA
"ENSMUSG00000025917.10",2.99986079055979,-4.56517563175998,3.46538551959212,-1.31736443346635,0.187716496748482,NA
"ENSMUSG00000056763.17",2.71314990560206,0.923463965495244,2.98283384824017,0.309592827652829,0.756870611204483,NA
"ENSMUSG00000067851.12",6.33983122908267,3.76877211433702,2.16514668771944,1.7406544026385,0.0817441754010532,NA
"ENSMUSG00002076532.1",0.278571522694404,-3.1014817315198,7.0061569228477,-0.442679455466604,0.657997604585099,NA
"ENSMUSG00000048960.14",0.466000191202802,-1.58217981151678,6.95236467470082,-0.227574341327955,0.819977169216668,NA
"ENSMUSG00000016918.16",1.4571451192837,2.15703074819488,4.62000909460757,0.466888853251943,0.640579400689344,NA
"ENSMUSG00000025938.17",0.879204156793294,5.50551495349282,6.68160964102008,0.823980335470825,0.40995073146465,NA
"ENSMUSG00000005886.15",2.60136360591945,-4.2691817392683,3.23139176391146,-1.32115882294032,0.186448412886294,NA
"ENSMUSG00000025935.11",4.42914821220416,2.42878789795027,2.79233574104898,0.869805110555173,0.384406918147255,NA
"ENSMUSG00000025937.7",2.06448661445776,0.517963424129712,3.9070000488414,0.132573180868864,0.894530943730766,NA
"ENSMUSG00000102166.2",0.404883220664239,2.69345869480741,7.00610773648949,0.384444372840462,0.700649117844395,NA
"ENSMUSG00000054493.3",8.52263781755833,-2.05871672253957,2.49217911124859,-0.826070932561563,0.408763855452543,NA
"ENSMUSG00000025930.7",2.18927934286582,0.0270296759435195,3.96280416404569,0.00682084575078381,0.994557794682667,NA
"ENSMUSG00000082193.2",0.0637009537061842,1.85597992546448,7.06048559365817,0.262868594637676,0.792651863103441,NA
"ENSMUSG00000104149.2",1.27943357992825,-4.36323354378339,5.75694888930475,-0.757907292157727,0.448506484499574,NA
"ENSMUSG00000025925.15",0.561267543928843,1.05341574652022,6.86596407722662,0.153425758520095,0.878062532998227,NA
"ENSMUSG00000104379.2",3.23351287701362,0.732203588299904,2.83085979856722,0.258650601018988,0.795904837386002,NA
"ENSMUSG00000032719.5",1.41961536047196,-0.824459556932469,4.47111089031457,-0.184397027306666,0.853702001700462,NA
"ENSMUSG00000043716.14",9.10338716640903,1.32197603283273,2.01790515972388,0.655122975657399,0.51238858050759,NA
"ENSMUSG00000025921.8",0.641470211418387,3.05569468890125,6.92116555272837,0.441500014068682,0.658851051333035,NA
"ENSMUSG00000100868.2",1.72791474081284,-2.10635394452494,4.51051717810064,-0.466987234801291,0.640509011030679,NA
"ENSMUSG00000025920.20",1.32824590825271,-0.846703559316771,4.7774442076656,-0.177229397667942,0.859328205159318,NA
"ENSMUSG00000089982.8",0.0670498729161029,-0.825882460210668,7.04624061033441,-0.117208949549549,0.906694475089993,NA
"ENSMUSG00000025939.20",0.7567466663465,-2.67488623210206,5.9978801215974,-0.445971939730877,0.655617515310227,NA
"ENSMUSG00000102457.2",24.3710417547064,0.666528220050398,1.08623075992806,0.61361567416351,0.539469323413275,NA
"ENSMUSG00000079658.10",0.993996869112378,5.68019880312504,6.92951774079912,0.819710550660917,0.412381133924129,NA
"ENSMUSG00000025940.7",0.268199491664412,-2.40013848463406,6.97867108707659,-0.343924861149961,0.730902794605129,NA
