Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Heart_ZT0_2_R2 - polyg	(1, 0.2446899137679827)	(2, 0.25736840450086423)	(3, 0.2574520602315064)	(4, 0.2575264208809661)	(5, 0.25760697825121415)	(6, 0.25770612578382707)	(7, 0.2578083716768342)	(8, 0.25803145362521335)	(9, 0.25843114211605933)	(10, 0.25897800272562765)	(12, 0.2598130108518524)	(14, 0.2602994534337347)	(16, 0.26055042062566125)	(18, 0.2607642074928579)	(20, 0.2609779943600546)	(22, 0.2611607976233097)	(24, 0.26136374022912684)	(26, 0.26156048611415567)	(28, 0.2618099041258851)	(30, 0.2621119942643152)	(32, 0.26240633850175993)	(34, 0.26275025650551115)	(36, 0.26305079746374416)	(38, 0.26343344497242227)	(40, 0.2637448301920348)	(42, 0.26400199410474967)	(44, 0.26437379735204825)	(46, 0.2647874284646679)	(48, 0.2652227481000467)	(50, 0.2656720103571991)	(52, 0.2660840922896217)	(54, 0.2665751824120952)	(56, 0.26702134630885355)	(58, 0.26758060035999853)	(60, 0.2680747888428662)	(62, 0.2685984117494784)	(64, 0.26913287891747006)	(66, 0.2697277641131478)	(68, 0.2704001083186794)	(70, 0.27108949350637884)	(72, 0.2717277557475747)	(74, 0.27239390323231805)	(76, 0.2730801900596233)	(78, 0.2740189932590522)	(80, 0.2751700341454807)	(82, 0.27634896027545663)	(84, 0.27771998474987014)	(86, 0.2792040993786703)	(88, 0.2810042467676742)	(90, 0.2824372384499709)																								
Heart_ZT12_1_R1 - illumina_universal_adapter	(1, 3.351874065111447e-05)	(2, 5.506650249825948e-05)	(3, 0.00011731559227890063)	(4, 0.00040701327933496137)	(5, 0.0005075695012883047)	(6, 0.0006440386596535565)	(7, 0.0007422006858461061)	(8, 0.0009696492831215256)	(9, 0.0012282224252872659)	(10, 0.001486795567453006)	(12, 0.0017561425905423186)	(14, 0.0020913299970534635)	(16, 0.0024636274378569134)	(18, 0.002801209040128852)	(20, 0.003041825714088638)	(22, 0.003235755570712943)	(24, 0.003386589903642958)	(26, 0.0036391775564067136)	(28, 0.003936057830745156)	(30, 0.004368210165568454)	(32, 0.005006263335820025)	(34, 0.005943590976170833)	(36, 0.007111958507438252)	(38, 0.008760362288744845)	(40, 0.011184485496548659)	(42, 0.014685996796709722)	(44, 0.018726202143049413)	(46, 0.02360317890778657)	(48, 0.030123771062308728)	(50, 0.03952577781494634)	(52, 0.051992355141400125)	(54, 0.06605466394242304)	(56, 0.08154989890628109)	(58, 0.10058136100883174)	(60, 0.12595744187748617)	(62, 0.1565552637004321)	(64, 0.1936557212096942)	(66, 0.2354631675846771)	(68, 0.28299154473007704)	(70, 0.3380364994664894)	(72, 0.4053457219875684)	(74, 0.4896489460187625)	(76, 0.5886597146085134)	(78, 0.6975920304309943)	(80, 0.8181541521615314)	(82, 0.961106792647013)	(84, 1.1331129986897284)	(86, 1.3358582841052766)	(88, 1.5611568935875035)	(90, 1.7414518053540873)																								
Heart_ZT12_1_R1 - polya	(1, 0.0024636274378569134)	(2, 0.004247303279648362)	(3, 0.0054803140964572155)	(4, 0.007067665885863565)	(5, 0.00824082180865257)	(6, 0.009085972912212813)	(7, 0.010484183236516446)	(8, 0.013031607526001146)	(9, 0.01616082138535876)	(10, 0.019463614437373933)	(12, 0.022013432922619425)	(14, 0.02556881362739835)	(16, 0.02878780982778574)	(18, 0.03176738645209373)	(20, 0.034616479407438464)	(22, 0.03703581422372069)	(24, 0.03940726512478704)	(26, 0.042118691823886126)	(28, 0.04505756712026062)	(30, 0.048196357762661415)	(32, 0.0511376272547967)	(34, 0.053691037033683386)	(36, 0.056459924431041524)	(38, 0.05979264493006661)	(40, 0.06267645372394286)	(42, 0.06523824318799232)	(44, 0.06789101209095195)	(46, 0.07108008084432942)	(48, 0.07377953656462452)	(50, 0.07635449410535836)	(52, 0.0791138047196733)	(54, 0.08191860505344337)	(56, 0.08415598099190524)	(58, 0.08661242584247977)	(60, 0.08908922135702105)	(62, 0.09138166379798121)	(64, 0.09388000707436964)	(66, 0.09646454139814664)	(68, 0.09904548442828245)	(70, 0.10160847099021231)	(72, 0.10425405730588956)	(74, 0.10660994593451076)	(76, 0.10884013928569025)	(78, 0.11109188039871691)	(80, 0.11338312574179667)	(82, 0.1157952779707965)	(84, 0.11801589453893284)	(86, 0.1201132100253883)	(88, 0.1222979136571127)	(90, 0.12417735732933592)																								
Heart_ZT12_1_R2 - illumina_universal_adapter	(1, 2.6336153368732793e-05)	(2, 3.8307132172702244e-05)	(3, 9.576783043175562e-05)	(4, 0.00033997579803273246)	(5, 0.0004189842581389308)	(6, 0.000524328871613862)	(7, 0.0005985489401984726)	(8, 0.0007062877494341976)	(9, 0.0008379685162778616)	(10, 0.0010785851902376476)	(12, 0.001331172843001403)	(14, 0.001660374760110563)	(16, 0.002030278005153219)	(18, 0.0023594799222623787)	(20, 0.002579745932255417)	(22, 0.002780858376162104)	(24, 0.0029484520794176763)	(26, 0.0032177991025069885)	(28, 0.0035326358450513853)	(30, 0.003998306920525797)	(32, 0.004657907852624514)	(34, 0.005598826786616513)	(36, 0.006786347883970282)	(38, 0.00844911683984164)	(40, 0.010901970396774981)	(42, 0.014423832360902793)	(44, 0.018480797077568042)	(46, 0.023352985450783605)	(48, 0.029899913758674502)	(50, 0.03932346827315925)	(52, 0.05183673241694852)	(54, 0.0659134063925362)	(56, 0.08144096299916498)	(58, 0.10051192933176871)	(60, 0.12588322180890157)	(62, 0.15648942331701027)	(64, 0.19360664019659796)	(66, 0.23536979395000618)	(68, 0.2828658494526354)	(70, 0.3378689057632338)	(72, 0.40514580664154215)	(74, 0.48935805123382603)	(76, 0.5881689044775507)	(78, 0.6968055371235735)	(80, 0.8171545754314)	(82, 0.9599084976687356)	(84, 1.131676481233252)	(86, 1.3340961560253324)	(88, 1.558745938456384)	(90, 1.7385644052665699)																								
Heart_ZT12_1_R2 - polya	(1, 0.005001474944298437)	(2, 0.00806843971387541)	(3, 0.014573469595952411)	(4, 0.024655427944655483)	(5, 0.03423699937935263)	(6, 0.042530493494742666)	(7, 0.04963407231701814)	(8, 0.05975194360213312)	(9, 0.07001586082865653)	(10, 0.08372263155920155)	(12, 0.10103386400762178)	(14, 0.12026524145619871)	(16, 0.1390740433529955)	(18, 0.15657441726651844)	(20, 0.17341159895430147)	(22, 0.18841123539567523)	(24, 0.20202942088307085)	(26, 0.2144684649582755)	(28, 0.22654239417995908)	(30, 0.23849062812420102)	(32, 0.25028922483339333)	(34, 0.26320351676711556)	(36, 0.2739618354182429)	(38, 0.28448432578693206)	(40, 0.29420715477151604)	(42, 0.3041526439618539)	(44, 0.3139329336446969)	(46, 0.3227998376447971)	(48, 0.33130402098713696)	(50, 0.3395711789491583)	(52, 0.3477748907235185)	(54, 0.35621921917183863)	(56, 0.3649628220902579)	(58, 0.37301450243380774)	(60, 0.3808016241457899)	(62, 0.3879040058701849)	(64, 0.3951943319618023)	(66, 0.40210757222109467)	(68, 0.40933924051657267)	(70, 0.41610763193233696)	(72, 0.4225659749970785)	(74, 0.42889263729497634)	(76, 0.43521690539711344)	(78, 0.44151004895436013)	(80, 0.44806894824105503)	(82, 0.4542986456106407)	(84, 0.46035236959180803)	(86, 0.4667951503841044)	(88, 0.4728117643309795)	(90, 0.47709138925339856)																								
Heart_ZT12_1_R2 - polyg	(1, 0.3325322434124242)	(2, 0.3519443826409411)	(3, 0.352073669212024)	(4, 0.3521407066933262)	(5, 0.3522077441746284)	(6, 0.3522747816559307)	(7, 0.3524184334015783)	(8, 0.35282784087667407)	(9, 0.353234854156009)	(10, 0.35403451554011417)	(12, 0.35511070653459104)	(14, 0.355749956802723)	(16, 0.35599775606396517)	(18, 0.3562347814442838)	(20, 0.35643110549666884)	(22, 0.35661186727660876)	(24, 0.3568069942311135)	(26, 0.3569913473046946)	(28, 0.3572020365316445)	(30, 0.35747617194625536)	(32, 0.3577419276757035)	(34, 0.35801965438395555)	(36, 0.35832730853921757)	(38, 0.3586026410517089)	(40, 0.3588648054875158)	(42, 0.35914372929364835)	(44, 0.3594717341128771)	(46, 0.35974826372324875)	(48, 0.3601073930873679)	(50, 0.3604928586048557)	(52, 0.36086515604565916)	(54, 0.36120872313733304)	(56, 0.3615726408929737)	(58, 0.3619772599765479)	(60, 0.36237709066860047)	(62, 0.362794877828859)	(64, 0.36327251988313736)	(66, 0.363799242950512)	(68, 0.36427568790691)	(70, 0.36475811835271)	(72, 0.36524294299427074)	(74, 0.3657900167256122)	(76, 0.3662808268565749)	(78, 0.36700147978057385)	(80, 0.367969931965815)	(82, 0.3689790854789896)	(84, 0.370165409478463)	(86, 0.37119251945984355)	(88, 0.37226751335644004)	(90, 0.37311146736211986)																								
Heart_ZT12_2_R1 - illumina_universal_adapter	(1, 6.277154184357256e-05)	(2, 0.00011298877531843061)	(3, 0.0002008689338994322)	(4, 0.0005084494889329378)	(5, 0.0005712210307765104)	(6, 0.0007030412686480128)	(7, 0.000784644273044657)	(8, 0.0009541274360223029)	(9, 0.0011173334448155916)	(10, 0.0013025094932541308)	(12, 0.0015661499689971355)	(14, 0.0018862848323993554)	(16, 0.002256636929276434)	(18, 0.002583048946863011)	(20, 0.0027399778014719424)	(22, 0.0029220152728183027)	(24, 0.0031260227838099137)	(26, 0.0033237531406171673)	(28, 0.003628195118558494)	(30, 0.004171168955505396)	(32, 0.005100187774790271)	(34, 0.006330509994924293)	(36, 0.008081836012359967)	(38, 0.010197236972488363)	(40, 0.013913312249627859)	(42, 0.01903547006406338)	(44, 0.02472884890927541)	(46, 0.03155211550767175)	(48, 0.041774461096897544)	(50, 0.055665803306880146)	(52, 0.0737220373181838)	(54, 0.09424833150103204)	(56, 0.11603005652075171)	(58, 0.14396966979532586)	(60, 0.1809829094433884)	(62, 0.22826243475996727)	(64, 0.2842797587011714)	(66, 0.345557337848867)	(68, 0.415980730643171)	(70, 0.4987858100661198)	(72, 0.5994996103770398)	(74, 0.7253847989672324)	(76, 0.8728508436432453)	(78, 1.0368414967095785)	(80, 1.2198079868752238)	(82, 1.4369253343808648)	(84, 1.6973895701065849)	(86, 2.0033694508230795)	(88, 2.343814046588787)	(90, 2.7136984954791306)	(92, 3.134110896976458)	(94, 3.6263747438450307)	(96, 4.18840288231855)	(98, 4.812458719864795)	(100, 5.488850330423119)	(102, 6.212220162897173)	(104, 7.006785478130206)	(106, 7.907547687854196)	(108, 8.901095652154263)	(110, 9.926399739472993)	(112, 11.004114925654013)	(114, 12.165385311183014)	(116, 13.404147165117905)	(118, 14.748192587609926)	(120, 16.13879566268733)	(122, 17.557671040211073)	(124, 19.005352278286836)	(126, 20.481848792645884)	(128, 22.025426115196073)	(130, 23.588311964017343)	(132, 25.18621805603314)	(134, 26.76347858793659)	(136, 28.336407883452832)	(138, 29.930324843984472)
Heart_ZT12_2_R1 - polya	(1, 0.0025861875239551898)	(2, 0.004569768246212083)	(3, 0.005950742166770679)	(4, 0.007570247946334851)	(5, 0.008919836095971662)	(6, 0.009855132069440893)	(7, 0.011185888756524631)	(8, 0.013759521972111105)	(9, 0.017105245152373525)	(10, 0.021072406596887312)	(12, 0.024082302028286616)	(14, 0.028168729402303187)	(16, 0.03169335147681979)	(18, 0.034922947304671596)	(20, 0.03803955435720498)	(22, 0.040810917929598706)	(24, 0.04344732268702875)	(26, 0.04617788475722416)	(28, 0.04914384010933296)	(30, 0.05240482170810655)	(32, 0.05543982575624329)	(34, 0.05815783351806998)	(36, 0.06121794618294414)	(38, 0.0643219989271088)	(40, 0.06725342993120365)	(42, 0.07043280852558059)	(44, 0.07334540806712236)	(46, 0.07675390278922836)	(48, 0.07974496675807458)	(50, 0.08282077230840965)	(52, 0.08589030070456033)	(54, 0.08876209874390378)	(56, 0.09115055591105173)	(58, 0.0934731029592639)	(60, 0.09593060882243977)	(62, 0.09850424203802624)	(64, 0.10116261683510155)	(66, 0.10378646728416288)	(68, 0.1063098832662745)	(70, 0.10928211577256766)	(72, 0.11235164416871836)	(74, 0.11529876805827409)	(76, 0.11778138253818737)	(78, 0.12022319551590235)	(80, 0.1226085141059581)	(82, 0.12496244692509208)	(84, 0.12740112132571488)	(86, 0.1298335185721533)	(88, 0.13252955629433477)	(90, 0.13510318950992123)	(92, 0.1373974893643038)	(94, 0.1399522911173372)	(96, 0.14239410409505218)	(98, 0.14506503320049619)	(100, 0.14774223946012455)	(102, 0.15017777528365517)	(104, 0.15244696652130033)	(106, 0.15487936376773875)	(108, 0.15724585089524146)	(110, 0.15959978371437542)	(112, 0.16203531953790606)	(114, 0.16441122239668526)	(116, 0.16638852596475778)	(118, 0.16849137261651748)	(120, 0.17086099832111235)	(122, 0.17304544797726867)	(124, 0.1752016504395954)	(126, 0.17739865440412042)	(128, 0.17967098421885774)	(130, 0.18160748628473197)	(132, 0.1832332692184805)	(134, 0.1848904379231508)	(136, 0.18653191374236022)	(138, 0.18805412363206686)
Heart_ZT12_2_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00021970039645250396)	(4, 0.00039546071361450715)	(5, 0.0005586667224077958)	(6, 0.0007093184228323699)	(7, 0.000784644273044657)	(8, 0.0008725244316256587)	(9, 0.0010671162113407337)	(10, 0.0014060825372960255)	(12, 0.0018046818280027111)	(14, 0.0021750339248797893)	(16, 0.0025485245988490462)	(18, 0.002884352347712159)	(20, 0.0031856557485613075)	(22, 0.0034900977265026347)	(24, 0.003788262550259604)	(26, 0.0041648918013210395)	(28, 0.004632539788055655)	(30, 0.004962090382734411)	(32, 0.005291640977413167)	(34, 0.0056337458804606375)	(36, 0.005997820823153359)	(38, 0.006371311497122615)	(40, 0.006851513792225945)	(42, 0.007400764783357205)	(44, 0.007746008263496855)	(46, 0.00809752889782086)	(48, 0.00844277237796051)	(50, 0.00894494471270909)	(52, 0.0095161657434856)	(54, 0.010030892386602895)	(56, 0.010727656501066551)	(58, 0.011242383144183847)	(60, 0.011757109787301141)	(62, 0.01233146939516983)	(64, 0.012874443232116733)	(66, 0.013420555646155814)	(68, 0.01754778452237071)	(70, 0.1263434208456507)	(72, 0.13889145206018083)	(74, 0.14043563198953274)	(76, 0.14139917515683156)	(78, 0.1423156396677477)	(80, 0.14321641129320298)	(82, 0.144095212879013)	(84, 0.1449771530419152)	(86, 0.14589047897573917)	(88, 0.14687599218268327)	(90, 0.14757275629714692)	(92, 0.1484138949578508)	(94, 0.14921737069344854)	(96, 0.15006792508542893)	(98, 0.15091847947740933)	(100, 0.1519824571116579)	(102, 0.15345131119079747)	(104, 0.15525913159589239)	(106, 0.1574875213313392)	(108, 0.16038128941032792)	(110, 0.16435786658611823)	(112, 0.16979702068686378)	(114, 0.17606789771703668)	(116, 0.18331801079996932)	(118, 0.19343364476806102)	(120, 0.20737206563442634)	(122, 0.22491357300261267)	(124, 0.2456564290048212)	(126, 0.2680030979011331)	(128, 0.29487873354145866)	(130, 0.3300653213218733)	(132, 0.37385788748904164)	(134, 0.4319184251172541)	(136, 0.49188721761751114)	(138, 0.5627123482796141)
Heart_ZT12_2_R2 - illumina_universal_adapter	(1, 4.39400792905008e-05)	(2, 6.277154184357256e-05)	(3, 0.00013809739205585965)	(4, 0.00036407494269272085)	(5, 0.0004017378677988644)	(6, 0.0005021723347485805)	(7, 0.0005461124140390813)	(8, 0.0006528240351731546)	(9, 0.0007407041937541563)	(10, 0.0008976330483630877)	(12, 0.001139303484460842)	(14, 0.0014531611936787047)	(16, 0.0018203747134636042)	(18, 0.0021405095768658243)	(20, 0.002297438431474756)	(22, 0.002488891634097652)	(24, 0.0026991762992736204)	(26, 0.0029063223873574094)	(28, 0.003207625788206558)	(30, 0.0037725696647987112)	(32, 0.004698449906991406)	(34, 0.005935049281309786)	(36, 0.007702068184206354)	(38, 0.009845716338164357)	(40, 0.013618286002963068)	(42, 0.018756136702859482)	(44, 0.024468347010624586)	(46, 0.03137007803632539)	(48, 0.04168344236122436)	(50, 0.055653248998511436)	(52, 0.07367495866180113)	(54, 0.09418869853628063)	(56, 0.11597670071018468)	(58, 0.14403871849135377)	(60, 0.18120260983984093)	(62, 0.22858884677755384)	(64, 0.2847317138024451)	(66, 0.3460877573774451)	(68, 0.41655509025103976)	(70, 0.4995202371056896)	(72, 0.6004192134650481)	(74, 0.7265429339142463)	(76, 0.8740748887091949)	(78, 1.0381785305508466)	(80, 1.2213019495711008)	(82, 1.4387017690150379)	(84, 1.6995865740711098)	(86, 2.0059022825364674)	(88, 2.346604241623734)	(90, 2.7162752672718096)	(92, 3.1368414590466536)	(94, 3.6288479425936675)	(96, 4.190581054820521)	(98, 4.813980929754502)	(100, 5.489594173193965)	(102, 6.214530155637016)	(104, 7.012080257684712)	(106, 7.917019913518391)	(108, 8.915297713496372)	(110, 9.94422999593366)	(112, 11.024995879048276)	(114, 12.185007695163314)	(116, 13.421073511376024)	(118, 14.761770072110693)	(120, 16.148110959496915)	(122, 17.562027385215018)	(124, 19.006039626670024)	(126, 20.479557631368596)	(128, 22.01938749287072)	(130, 23.578026846886274)	(132, 25.17136630923295)	(134, 26.74234340979786)	(136, 28.309202697217827)	(138, 29.89563415138462)
Heart_ZT12_2_R2 - polya	(1, 0.005618052994999744)	(2, 0.008317229294273365)	(3, 0.01564894538160264)	(4, 0.024600167248496087)	(5, 0.033042939626456595)	(6, 0.04072617634810988)	(7, 0.04915011726351732)	(8, 0.06044271764117602)	(9, 0.07307862901428717)	(10, 0.08853298261617475)	(12, 0.10768144145555655)	(14, 0.12917755595988797)	(16, 0.1508368764730127)	(18, 0.16984409934324646)	(20, 0.18920912000198858)	(22, 0.20640538389003532)	(24, 0.22353573765914625)	(26, 0.23889593394826847)	(28, 0.2549372014663934)	(30, 0.2703225063722531)	(32, 0.284728575225353)	(34, 0.30243328860233265)	(36, 0.31677344733649676)	(38, 0.3295976733351387)	(40, 0.34182870826335876)	(42, 0.35449286683029957)	(44, 0.36698754223426266)	(46, 0.3776963672727761)	(48, 0.3882419863024963)	(50, 0.3984203918124316)	(52, 0.4089471793795987)	(54, 0.41986628908328816)	(56, 0.43065985570329046)	(58, 0.44043024619124255)	(60, 0.44960744560877286)	(62, 0.4588725251848842)	(64, 0.4678519942456072)	(66, 0.47633556812576605)	(68, 0.4857387450939332)	(70, 0.4942693976304747)	(72, 0.5019243871582983)	(74, 0.509121144430664)	(76, 0.5171025459760743)	(78, 0.5248391385082946)	(80, 0.5323654463753389)	(82, 0.5399576643613191)	(84, 0.5469817998936148)	(86, 0.5538144822232877)	(88, 0.5604870971212594)	(90, 0.5671189105170329)	(92, 0.5737570010669907)	(94, 0.579999630903334)	(96, 0.5865780884885403)	(98, 0.5933166135054478)	(100, 0.598871894958604)	(102, 0.6047849742002686)	(104, 0.6112535815872487)	(106, 0.617794376247349)	(108, 0.6240432832378766)	(110, 0.6297272463518122)	(112, 0.6353735465406415)	(114, 0.640636940324225)	(116, 0.645890918376532)	(118, 0.6509628589574927)	(120, 0.6559939980362551)	(122, 0.6606579235952326)	(124, 0.6661755421232824)	(126, 0.6709587336117628)	(128, 0.6764794907169049)	(130, 0.6815200455269439)	(132, 0.6869435067422285)	(134, 0.6919809229751752)	(136, 0.6964377024460688)	(138, 0.7014092085600798)
Heart_ZT12_2_R2 - polyg	(1, 0.4903085133401453)	(2, 0.5240356627726969)	(3, 0.5241988687814901)	(4, 0.5243746290986522)	(5, 0.5244687864114175)	(6, 0.5246194381118421)	(7, 0.524795198429004)	(8, 0.5253726966139649)	(9, 0.5260380749575068)	(10, 0.5269325694287776)	(12, 0.5298483075474116)	(14, 0.5324031093004451)	(16, 0.5329963003708669)	(18, 0.5333352666968221)	(20, 0.5335643828245511)	(22, 0.5338091918377411)	(24, 0.5340163379258249)	(26, 0.5341701282033416)	(28, 0.5343866900227019)	(30, 0.5346879934235511)	(32, 0.5349641882076628)	(34, 0.535230967260498)	(36, 0.5355605178551768)	(38, 0.5359245927978695)	(40, 0.5362384505070874)	(42, 0.53653033817666)	(44, 0.5368096715378639)	(46, 0.5371517764409113)	(48, 0.53748132703559)	(50, 0.5378736491721124)	(52, 0.5383820986610454)	(54, 0.5389878440398359)	(56, 0.5395088478371375)	(58, 0.5399953272864252)	(60, 0.5404002037313163)	(62, 0.5408176344845759)	(64, 0.5412382038149279)	(66, 0.541627387374358)	(68, 0.5420762038985396)	(70, 0.542628593466763)	(72, 0.543224923114277)	(74, 0.5438714699952658)	(76, 0.5445494026471763)	(78, 0.5459178222593662)	(80, 0.5478386314397795)	(82, 0.5497468863118242)	(84, 0.5515860924878409)	(86, 0.5532903398488939)	(88, 0.5550573587517904)	(90, 0.5564759955974552)	(92, 0.5580955013770194)	(94, 0.5595329696852371)	(96, 0.5607695690595556)	(98, 0.56197164408586)	(100, 0.5630732846452147)	(102, 0.5642188652838598)	(104, 0.5654805732749156)	(106, 0.5672570079090887)	(108, 0.5694100717943233)	(110, 0.5718581619262226)	(112, 0.5747174056571973)	(114, 0.5786908442558955)	(116, 0.5838506649954371)	(118, 0.5900022760961072)	(120, 0.597255527756132)	(122, 0.6064892215613216)	(124, 0.6194232977581897)	(126, 0.6357376214833342)	(128, 0.6555953987455484)	(130, 0.6774618653467569)	(132, 0.7035151937889317)	(134, 0.7362631071687236)	(136, 0.7791172387853305)	(138, 0.8310104724274119)
Liver_ZT0_1_R1 - illumina_universal_adapter	(1, 3.797093355413178e-06)	(2, 1.1391280066239534e-05)	(3, 1.898546677706589e-05)	(4, 7.594186710826357e-05)	(5, 0.00010631861395156898)	(6, 0.0001556808275719403)	(7, 0.0001936517611260721)	(8, 0.00023921688139103022)	(9, 0.0003607238687642519)	(10, 0.0005239988830470186)	(12, 0.000725244830883917)	(14, 0.0009132009519768694)	(16, 0.0011391280066239534)	(18, 0.0014371998350238878)	(20, 0.0017029963699028104)	(22, 0.001927024877872188)	(24, 0.002213705426205883)	(26, 0.0024662121343408594)	(28, 0.002863008389981536)	(30, 0.0034914273403024174)	(32, 0.00432488933181561)	(34, 0.0054981911786382825)	(36, 0.007176506441730906)	(38, 0.009464255188367346)	(40, 0.0123899156187132)	(42, 0.016038922333265263)	(44, 0.02036571021175858)	(46, 0.02530952576050654)	(48, 0.03144183152949882)	(50, 0.03926004674829456)	(52, 0.04854773709563519)	(54, 0.05916630866404814)	(56, 0.07150116642910784)	(58, 0.08589974443283462)	(60, 0.10348218521507535)	(62, 0.12419153237549882)	(64, 0.15002125992569695)	(66, 0.18050622392963167)	(68, 0.21721082684973314)	(70, 0.25911175202671755)	(72, 0.30854800896751944)	(74, 0.36990144340428555)	(76, 0.44513705114844226)	(78, 0.5343307740670978)	(80, 0.6389710727555742)	(82, 0.7637910240813939)	(84, 0.9105562764548241)	(86, 1.0896196049093987)	(88, 1.297174423356316)	(90, 1.470037098361501)																								
Liver_ZT0_1_R1 - polya	(1, 0.0011581134734010192)	(2, 0.002961732817222279)	(3, 0.00456410621320664)	(4, 0.006360131370317074)	(5, 0.00854346004967965)	(6, 0.009538298508797904)	(7, 0.01139887425295036)	(8, 0.014284665203064376)	(9, 0.017948860291038093)	(10, 0.021913025754089453)	(12, 0.025377873440903975)	(14, 0.02978250173318326)	(16, 0.033220769766509894)	(18, 0.03641792237176779)	(20, 0.041177578892778205)	(22, 0.045432221997518674)	(24, 0.04962041596853941)	(26, 0.053903537273445476)	(28, 0.05724877651956448)	(30, 0.06108004371517638)	(32, 0.06455818122873486)	(34, 0.06716298727054829)	(36, 0.07134738414821362)	(38, 0.07462427571393519)	(40, 0.07743982043697406)	(42, 0.08029903173360017)	(44, 0.08265892525398946)	(46, 0.08509096354813162)	(48, 0.08754388585572853)	(50, 0.08968544650818155)	(52, 0.09187447082757726)	(54, 0.09390591577272331)	(56, 0.09608165026537505)	(58, 0.09888200661499227)	(60, 0.10112798733471917)	(62, 0.10325625816042826)	(64, 0.10527631182550806)	(66, 0.1079665524678183)	(68, 0.11097005331195012)	(70, 0.11317616455144519)	(72, 0.11578476768661404)	(74, 0.11838387808839436)	(76, 0.12031659860629967)	(78, 0.12254928949928262)	(80, 0.12503448710040055)	(82, 0.12746842394122038)	(84, 0.1297201003009804)	(86, 0.1317705307129035)	(88, 0.13400512015256416)	(90, 0.13595492759056885)																								
Liver_ZT0_1_R2 - illumina_universal_adapter	(1, 3.797093355413178e-06)	(2, 1.1391280066239534e-05)	(3, 1.5188373421652713e-05)	(4, 7.214477375285039e-05)	(5, 9.872442724074263e-05)	(6, 0.00014428954750570077)	(7, 0.00017846338770441937)	(8, 0.0002240285079693775)	(9, 0.0003455354953425992)	(10, 0.0005012163229145395)	(12, 0.0006891724440074918)	(14, 0.0008676358317119112)	(16, 0.0010916643396812887)	(18, 0.0013935332614366364)	(20, 0.0016745181697372115)	(22, 0.0019042423177397087)	(24, 0.002217502519561296)	(26, 0.002485197601117925)	(28, 0.002900979323535668)	(30, 0.0035521808339890283)	(32, 0.004400831198923873)	(34, 0.005581727232457372)	(36, 0.007299911975781835)	(38, 0.009608544735873047)	(40, 0.01254559644628514)	(42, 0.016211690080936564)	(44, 0.020557463426206946)	(46, 0.0255582353752861)	(48, 0.03171901934444398)	(50, 0.03955052438998366)	(52, 0.048855301657423654)	(54, 0.059489061599258264)	(56, 0.07183151355102879)	(58, 0.08620730899462309)	(60, 0.10380303960360776)	(62, 0.12448201001718792)	(64, 0.15024908552702176)	(66, 0.18074354226434497)	(68, 0.21745953646451271)	(70, 0.2593338819880092)	(72, 0.3086600232215041)	(74, 0.3697837335102678)	(76, 0.44486935606688566)	(78, 0.5338979054245807)	(80, 0.6382875959515999)	(82, 0.762904402782905)	(84, 0.9091874243001976)	(86, 1.0877191596850144)	(88, 1.2947537763422403)	(90, 1.4671437132246763)																								
Liver_ZT0_1_R2 - polya	(1, 0.004495758532809203)	(2, 0.00715752097495384)	(3, 0.010404035793832108)	(4, 0.014030259948251692)	(5, 0.017948860291038093)	(6, 0.02152951932519272)	(7, 0.025440525481268295)	(8, 0.031276657968538346)	(9, 0.038081049261438765)	(10, 0.047588971023393364)	(12, 0.05998458228213968)	(14, 0.07242196156779554)	(16, 0.0856624260981213)	(18, 0.09869784758725474)	(20, 0.1106738800302279)	(22, 0.1221411019635757)	(24, 0.132744485158567)	(26, 0.14210052318630506)	(28, 0.1518267778161959)	(30, 0.16134988795157218)	(32, 0.1701401590693537)	(34, 0.1790690240946078)	(36, 0.1878061359054135)	(38, 0.19612366890044608)	(40, 0.20404250709316024)	(42, 0.21136899872242998)	(44, 0.21862334557794685)	(46, 0.22569353340572618)	(48, 0.23218846159016043)	(50, 0.23877072292176915)	(52, 0.2450928833585321)	(54, 0.2520415641989382)	(56, 0.25852699964998394)	(58, 0.2645150158714705)	(60, 0.27028090213166545)	(62, 0.2763676427803927)	(64, 0.28197405111966034)	(66, 0.28745705392487697)	(68, 0.2929552451035152)	(70, 0.2978724809987753)	(72, 0.30337826636412435)	(74, 0.3081360243384571)	(76, 0.31307034715381654)	(78, 0.3181508580633594)	(80, 0.323491469867748)	(82, 0.32846186506998387)	(84, 0.3333430285783675)	(86, 0.33795269991183907)	(88, 0.342450356991326)	(90, 0.34602152329209207)																								
